id_sensor,type,time,dayOfWeek,date,mean
40655,pm25,0,1,10/7/2023,5.125789474
70169,pm25,0,1,10/7/2023,6.816428571
60342,pm25,0,1,10/7/2023,8.970588235
22851,pm25,0,1,10/7/2023,5.908888889
45694,pm25,0,1,10/7/2023,4.984705882
50128,pm25,0,1,10/7/2023,6.63375
24644,pm25,0,1,10/7/2023,7.36
59970,pm25,0,1,10/7/2023,5.72
40256,pm25,0,1,10/7/2023,4.3
10869234,loudeness,0,1,10/7/2023,50.77777778
32399,pm25,0,1,10/7/2023,5.475
57418,pm25,0,1,10/7/2023,6.704117647
39224,pm25,0,1,10/7/2023,4.411764706
44216,pm25,0,1,10/7/2023,6.814705882
10608112,loudeness,0,1,10/7/2023,52.66666667
40645,pm25,0,1,10/7/2023,4.981764706
32393,pm25,0,1,10/7/2023,6.754705882
10839718,loudeness,0,1,10/7/2023,35
40669,pm25,0,1,10/7/2023,7.264375
55575,pm25,0,1,10/7/2023,7.078461538
43962,pm25,0,1,10/7/2023,6.3725
32393,pm25,1,1,10/7/2023,6.682962963
40669,pm25,1,1,10/7/2023,7.615555556
50128,pm25,1,1,10/7/2023,5.348125
39224,pm25,1,1,10/7/2023,4.096363636
40645,pm25,1,1,10/7/2023,5.085652174
57418,pm25,1,1,10/7/2023,7.172222222
22851,pm25,1,1,10/7/2023,7.653333333
40655,pm25,1,1,10/7/2023,5.365
44216,pm25,1,1,10/7/2023,7.384090909
32399,pm25,1,1,10/7/2023,5.964545455
60342,pm25,1,1,10/7/2023,8.681818182
59970,pm25,1,1,10/7/2023,6.080454545
24644,pm25,1,1,10/7/2023,7.851363636
40256,pm25,1,1,10/7/2023,4.6305
45694,pm25,1,1,10/7/2023,4.853043478
70169,pm25,1,1,10/7/2023,7.161176471
55575,pm25,1,1,10/7/2023,7.651578947
43962,pm25,1,1,10/7/2023,6.68
10869234,loudeness,1,1,10/7/2023,56.16666667
10608112,loudeness,1,1,10/7/2023,54.66666667
10839718,loudeness,1,1,10/7/2023,46.91666667
57418,pm25,2,1,10/7/2023,8.049166667
40645,pm25,2,1,10/7/2023,5.394166667
22851,pm25,2,1,10/7/2023,7.8092
45694,pm25,2,1,10/7/2023,5.27125
55575,pm25,2,1,10/7/2023,8.21952381
32393,pm25,2,1,10/7/2023,7.435652174
40669,pm25,2,1,10/7/2023,8.22625
44216,pm25,2,1,10/7/2023,7.446086957
40655,pm25,2,1,10/7/2023,5.764782609
32399,pm25,2,1,10/7/2023,6.08875
50128,pm25,2,1,10/7/2023,5.741111111
40256,pm25,2,1,10/7/2023,4.740869565
43962,pm25,2,1,10/7/2023,6.656666667
60342,pm25,2,1,10/7/2023,9.056956522
59970,pm25,2,1,10/7/2023,6.879130435
39224,pm25,2,1,10/7/2023,4.2484
24644,pm25,2,1,10/7/2023,8.456296296
70169,pm25,2,1,10/7/2023,7.257777778
10869234,loudeness,2,1,10/7/2023,51.66666667
10608112,loudeness,2,1,10/7/2023,44.33333333
10839718,loudeness,2,1,10/7/2023,60.5
70169,pm25,3,1,10/7/2023,7.444545455
39224,pm25,3,1,10/7/2023,4.131428571
24644,pm25,3,1,10/7/2023,8.808461538
50128,pm25,3,1,10/7/2023,6.33
40669,pm25,3,1,10/7/2023,8.222727273
32399,pm25,3,1,10/7/2023,6.13
44216,pm25,3,1,10/7/2023,7.613636364
40256,pm25,3,1,10/7/2023,5.063636364
43962,pm25,3,1,10/7/2023,6.524285714
59970,pm25,3,1,10/7/2023,7.139
22851,pm25,3,1,10/7/2023,7.884615385
60342,pm25,3,1,10/7/2023,9.199090909
55575,pm25,3,1,10/7/2023,9.163333333
57418,pm25,3,1,10/7/2023,8.017692308
32393,pm25,3,1,10/7/2023,8.071
